@relation notebookTweets
@attribute 'marc' numeric
@attribute 'quer' numeric
@attribute 'imag' numeric
@attribute 'suport' numeric
@attribute 'escolh' numeric
@attribute 'tent' numeric
@attribute 'dar' numeric
@attribute 'sit' numeric
@attribute 'qu' numeric
@attribute 'show' numeric
@attribute 'est' numeric
@attribute 'olh' numeric
@attribute 'hp' numeric
@attribute 'lembr' numeric
@attribute 'tao' numeric
@attribute 'cois' numeric
@attribute 'link' numeric
@attribute 'format' numeric
@attribute 'excel' numeric
@attribute 'comput' numeric
@attribute 'quas' numeric
@attribute 'menos' numeric
@attribute 'seman' numeric
@attribute 'ja' numeric
@attribute 'xp' numeric
@attribute 'not' numeric
@attribute 'trav' numeric
@attribute 'fodas' numeric
@attribute 'retweet' numeric
@attribute 'odi' numeric
@attribute 'so' numeric
@attribute 'car' numeric
@attribute 'cas' numeric
@attribute 'pq' numeric
@attribute 'to' numeric
@attribute 'edic' numeric
@attribute 'seri' numeric
@attribute 'ai' numeric
@attribute 'brasil' numeric
@attribute 'carreg' numeric
@attribute 'ano' numeric
@attribute 'incorpor' numeric
@attribute 'garant' numeric
@attribute 'nov' numeric
@attribute 'bem' numeric
@attribute 'precis' numeric
@attribute 'lind' numeric
@attribute 'muit' numeric
@attribute 'curt' numeric
@attribute 'atual' numeric
@attribute 'ser' numeric
@attribute 'ped' numeric
@attribute 'real' numeric
@attribute 'assist' numeric
@attribute 'err' numeric
@attribute 'bat' numeric
@attribute 'hor' numeric
@attribute 'dell' numeric
@attribute 'cheg' numeric
@attribute 'otim' numeric
@attribute 'window' numeric
@attribute 'reclam' numeric
@attribute 'vir' numeric
@attribute 'permanent' numeric
@attribute 'inspiron' numeric
@attribute 'samsung' numeric
@attribute 'funcion' numeric
@attribute 'r' numeric
@attribute 'tecn' numeric
@attribute 'facil' numeric
@attribute 'mesm' numeric
@attribute 'pod' numeric
@attribute 'compr' numeric
@attribute 'dia' numeric
@attribute 'volt' numeric
@attribute 'defeit' numeric
@attribute 'gost' numeric
@attribute 'tecl' numeric
@attribute 'driv' numeric
@attribute 'ver' numeric
@attribute 'pc' numeric
@attribute 'pens' numeric
@attribute 'agor' numeric
@attribute 'mand' numeric
@attribute 'melhor' numeric
@attribute 'mae' numeric
@attribute 'entr' numeric
@attribute 'fic' numeric
@attribute 'vend' numeric
@attribute 'arrum' numeric
@attribute 'wif' numeric
@attribute 'bost' numeric
@attribute 'maravilh' numeric
@attribute 'aqu' numeric
@attribute 'fod' numeric
@attribute 'am' numeric
@attribute 'pro' numeric
@attribute 'nao' numeric
@attribute 'par' numeric
@attribute 'ter' numeric
@attribute 'faz' numeric
@attribute 'fal' numeric
@attribute 'lig' numeric
@attribute 'pag' numeric
@attribute 'pi' numeric
@attribute 'ach' numeric
@attribute 'top' numeric
@attribute 'vez' numeric
@attribute 'pai' numeric
@attribute 'troc' numeric
@attribute 'rapid' numeric
@attribute 'aind' numeric
@attribute 'ir' numeric
@attribute 'parabem' numeric
@attribute 'assim' numeric
@attribute 'bom' numeric
@attribute 'resolv' numeric
@attribute 'obrig' numeric
@attribute 'vc' numeric
@attribute 'atend' numeric
@attribute 'q' numeric
@attribute 'ruim' numeric
@attribute 'prox' numeric
@attribute 'sab' numeric
@attribute 'nunc' numeric
@attribute 'ganh' numeric
@attribute 'tel' numeric
@attribute 'problem' numeric
@attribute 'estrag' numeric
@attribute 'notebook' numeric
@attribute 'val' numeric
@attribute 'hd' numeric
@attribute 'plac' numeric
@attribute 'p' numeric
@attribute 'class' {POSITIVE, NEGATIVE}

@data
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,POSITIVE
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,POSITIVE
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,POSITIVE
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,POSITIVE
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,POSITIVE
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,POSITIVE
