@relation notebookTweets
@attribute 'cois' numeric
@attribute 'fod' numeric
@attribute 'real' numeric
@attribute 'gost' numeric
@attribute 'atend' numeric
@attribute 'p' numeric
@attribute 'hor' numeric
@attribute 'fodas' numeric
@attribute 'pq' numeric
@attribute 'pro' numeric
@attribute 'bost' numeric
@attribute 'inspiron' numeric
@attribute 'samsung' numeric
@attribute 'resolv' numeric
@attribute 'q' numeric
@attribute 'tao' numeric
@attribute 'hd' numeric
@attribute 'sit' numeric
@attribute 'so' numeric
@attribute 'nov' numeric
@attribute 'ir' numeric
@attribute 'olh' numeric
@attribute 'ter' numeric
@attribute 'ver' numeric
@attribute 'pc' numeric
@attribute 'qu' numeric
@attribute 'faz' numeric
@attribute 'par' numeric
@attribute 'melhor' numeric
@attribute 'cas' numeric
@attribute 'dell' numeric
@attribute 'maravilh' numeric
@attribute 'suport' numeric
@attribute 'plac' numeric
@attribute 'assist' numeric
@attribute 'hp' numeric
@attribute 'marc' numeric
@attribute 'menos' numeric
@attribute 'permanent' numeric
@attribute 'tent' numeric
@attribute 'problem' numeric
@attribute 'tecl' numeric
@attribute 'aqu' numeric
@attribute 'ganh' numeric
@attribute 'quer' numeric
@attribute 'precis' numeric
@attribute 'ano' numeric
@attribute 'prox' numeric
@attribute 'mae' numeric
@attribute 'ser' numeric
@attribute 'aind' numeric
@attribute 'compr' numeric
@attribute 'vc' numeric
@attribute 'nunc' numeric
@attribute 'troc' numeric
@attribute 'entr' numeric
@attribute 'ach' numeric
@attribute 'seman' numeric
@attribute 'quas' numeric
@attribute 'ruim' numeric
@attribute 'comput' numeric
@attribute 'format' numeric
@attribute 'muit' numeric
@attribute 'pod' numeric
@attribute 'r' numeric
@attribute 'parabem' numeric
@attribute 'obrig' numeric
@attribute 'curt' numeric
@attribute 'tel' numeric
@attribute 'reclam' numeric
@attribute 'driv' numeric
@attribute 'atual' numeric
@attribute 'ja' numeric
@attribute 'assim' numeric
@attribute 'pag' numeric
@attribute 'imag' numeric
@attribute 'sab' numeric
@attribute 'funcion' numeric
@attribute 'mesm' numeric
@attribute 'wif' numeric
@attribute 'escolh' numeric
@attribute 'retweet' numeric
@attribute 'val' numeric
@attribute 'xp' numeric
@attribute 'fic' numeric
@attribute 'am' numeric
@attribute 'car' numeric
@attribute 'to' numeric
@attribute 'volt' numeric
@attribute 'dar' numeric
@attribute 'top' numeric
@attribute 'bem' numeric
@attribute 'lig' numeric
@attribute 'est' numeric
@attribute 'nao' numeric
@attribute 'not' numeric
@attribute 'vez' numeric
@attribute 'pi' numeric
@attribute 'lembr' numeric
@attribute 'vend' numeric
@attribute 'fal' numeric
@attribute 'bom' numeric
@attribute 'window' numeric
@attribute 'odi' numeric
@attribute 'estrag' numeric
@attribute 'excel' numeric
@attribute 'seri' numeric
@attribute 'notebook' numeric
@attribute 'defeit' numeric
@attribute 'carreg' numeric
@attribute 'facil' numeric
@attribute 'bat' numeric
@attribute 'pai' numeric
@attribute 'lind' numeric
@attribute 'pens' numeric
@attribute 'rapid' numeric
@attribute 'cheg' numeric
@attribute 'agor' numeric
@attribute 'ped' numeric
@attribute 'garant' numeric
@attribute 'edic' numeric
@attribute 'mand' numeric
@attribute 'brasil' numeric
@attribute 'err' numeric
@attribute 'arrum' numeric
@attribute 'vir' numeric
@attribute 'otim' numeric
@attribute 'tecn' numeric
@attribute 'trav' numeric
@attribute 'link' numeric
@attribute 'ai' numeric
@attribute 'dia' numeric
@attribute 'incorpor' numeric
@attribute 'class' {POSITIVE, NEGATIVE}

@data
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
