@relation notebookTweets
@attribute 'hd' numeric
@attribute 'lembr' numeric
@attribute 'est' numeric
@attribute 'rapid' numeric
@attribute 'aqu' numeric
@attribute 'quas' numeric
@attribute 'window' numeric
@attribute 'fic' numeric
@attribute 'olh' numeric
@attribute 'ter' numeric
@attribute 'mesm' numeric
@attribute 'compr' numeric
@attribute 'estrag' numeric
@attribute 'arrum' numeric
@attribute 'tecl' numeric
@attribute 'ja' numeric
@attribute 'melhor' numeric
@attribute 'plac' numeric
@attribute 'format' numeric
@attribute 'link' numeric
@attribute 'precis' numeric
@attribute 'prox' numeric
@attribute 'seri' numeric
@attribute 'hor' numeric
@attribute 'lig' numeric
@attribute 'retweet' numeric
@attribute 'maravilh' numeric
@attribute 'marc' numeric
@attribute 'hp' numeric
@attribute 'nunc' numeric
@attribute 'ped' numeric
@attribute 'nov' numeric
@attribute 'cois' numeric
@attribute 'ano' numeric
@attribute 'parabem' numeric
@attribute 'faz' numeric
@attribute 'r' numeric
@attribute 'tao' numeric
@attribute 'otim' numeric
@attribute 'fod' numeric
@attribute 'seman' numeric
@attribute 'curt' numeric
@attribute 'atual' numeric
@attribute 'quer' numeric
@attribute 'facil' numeric
@attribute 'garant' numeric
@attribute 'bem' numeric
@attribute 'menos' numeric
@attribute 'show' numeric
@attribute 'tecn' numeric
@attribute 'wif' numeric
@attribute 'am' numeric
@attribute 'dia' numeric
@attribute 'aind' numeric
@attribute 'entr' numeric
@attribute 'vir' numeric
@attribute 'fodas' numeric
@attribute 'defeit' numeric
@attribute 'samsung' numeric
@attribute 'pag' numeric
@attribute 'to' numeric
@attribute 'assim' numeric
@attribute 'resolv' numeric
@attribute 'pai' numeric
@attribute 'dell' numeric
@attribute 'pq' numeric
@attribute 'pc' numeric
@attribute 'volt' numeric
@attribute 'pro' numeric
@attribute 'brasil' numeric
@attribute 'bat' numeric
@attribute 'ruim' numeric
@attribute 'excel' numeric
@attribute 'obrig' numeric
@attribute 'pi' numeric
@attribute 'p' numeric
@attribute 'vend' numeric
@attribute 'imag' numeric
@attribute 'trav' numeric
@attribute 'permanent' numeric
@attribute 'funcion' numeric
@attribute 'so' numeric
@attribute 'mae' numeric
@attribute 'carreg' numeric
@attribute 'par' numeric
@attribute 'fal' numeric
@attribute 'qu' numeric
@attribute 'edic' numeric
@attribute 'ser' numeric
@attribute 'sab' numeric
@attribute 'bom' numeric
@attribute 'val' numeric
@attribute 'mand' numeric
@attribute 'suport' numeric
@attribute 'assist' numeric
@attribute 'problem' numeric
@attribute 'odi' numeric
@attribute 'dar' numeric
@attribute 'reclam' numeric
@attribute 'q' numeric
@attribute 'escolh' numeric
@attribute 'vez' numeric
@attribute 'notebook' numeric
@attribute 'cheg' numeric
@attribute 'cas' numeric
@attribute 'pod' numeric
@attribute 'ach' numeric
@attribute 'driv' numeric
@attribute 'tel' numeric
@attribute 'pens' numeric
@attribute 'gost' numeric
@attribute 'comput' numeric
@attribute 'muit' numeric
@attribute 'incorpor' numeric
@attribute 'ai' numeric
@attribute 'atend' numeric
@attribute 'car' numeric
@attribute 'vc' numeric
@attribute 'inspiron' numeric
@attribute 'xp' numeric
@attribute 'ir' numeric
@attribute 'tent' numeric
@attribute 'bost' numeric
@attribute 'top' numeric
@attribute 'troc' numeric
@attribute 'sit' numeric
@attribute 'agor' numeric
@attribute 'ver' numeric
@attribute 'err' numeric
@attribute 'nao' numeric
@attribute 'lind' numeric
@attribute 'real' numeric
@attribute 'ganh' numeric
@attribute 'not' numeric
@attribute 'class' {POSITIVE, NEGATIVE}

@data
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
