@relation notebookTweets
@attribute 'facil' numeric
@attribute 'assim' numeric
@attribute 'trav' numeric
@attribute 'pi' numeric
@attribute 'ai' numeric
@attribute 'r' numeric
@attribute 'err' numeric
@attribute 'pro' numeric
@attribute 'faz' numeric
@attribute 'arrum' numeric
@attribute 'melhor' numeric
@attribute 'ano' numeric
@attribute 'nao' numeric
@attribute 'vc' numeric
@attribute 'inspiron' numeric
@attribute 'ir' numeric
@attribute 'excel' numeric
@attribute 'carreg' numeric
@attribute 'ach' numeric
@attribute 'resolv' numeric
@attribute 'dar' numeric
@attribute 'tel' numeric
@attribute 'hor' numeric
@attribute 'qu' numeric
@attribute 'tecl' numeric
@attribute 'quer' numeric
@attribute 'fal' numeric
@attribute 'bost' numeric
@attribute 'pq' numeric
@attribute 'otim' numeric
@attribute 'vend' numeric
@attribute 'ver' numeric
@attribute 'tecn' numeric
@attribute 'menos' numeric
@attribute 'nov' numeric
@attribute 'hp' numeric
@attribute 'window' numeric
@attribute 'xp' numeric
@attribute 'ser' numeric
@attribute 'sab' numeric
@attribute 'assist' numeric
@attribute 'dia' numeric
@attribute 'suport' numeric
@attribute 'lind' numeric
@attribute 'format' numeric
@attribute 'pai' numeric
@attribute 'mand' numeric
@attribute 'marc' numeric
@attribute 'ter' numeric
@attribute 'curt' numeric
@attribute 'tao' numeric
@attribute 'precis' numeric
@attribute 'problem' numeric
@attribute 'sit' numeric
@attribute 'pod' numeric
@attribute 'prox' numeric
@attribute 'volt' numeric
@attribute 'top' numeric
@attribute 'ganh' numeric
@attribute 'est' numeric
@attribute 'lembr' numeric
@attribute 'agor' numeric
@attribute 'driv' numeric
@attribute 'troc' numeric
@attribute 'garant' numeric
@attribute 'ja' numeric
@attribute 'so' numeric
@attribute 'aind' numeric
@attribute 'bem' numeric
@attribute 'seri' numeric
@attribute 'lig' numeric
@attribute 'tent' numeric
@attribute 'muit' numeric
@attribute 'odi' numeric
@attribute 'pc' numeric
@attribute 'plac' numeric
@attribute 'link' numeric
@attribute 'olh' numeric
@attribute 'permanent' numeric
@attribute 'ped' numeric
@attribute 'wif' numeric
@attribute 'cas' numeric
@attribute 'vir' numeric
@attribute 'p' numeric
@attribute 'mesm' numeric
@attribute 'real' numeric
@attribute 'pag' numeric
@attribute 'incorpor' numeric
@attribute 'bom' numeric
@attribute 'nunc' numeric
@attribute 'gost' numeric
@attribute 'parabem' numeric
@attribute 'escolh' numeric
@attribute 'dell' numeric
@attribute 'cois' numeric
@attribute 'ruim' numeric
@attribute 'to' numeric
@attribute 'obrig' numeric
@attribute 'fic' numeric
@attribute 'compr' numeric
@attribute 'par' numeric
@attribute 'pens' numeric
@attribute 'maravilh' numeric
@attribute 'imag' numeric
@attribute 'notebook' numeric
@attribute 'defeit' numeric
@attribute 'am' numeric
@attribute 'car' numeric
@attribute 'fodas' numeric
@attribute 'seman' numeric
@attribute 'comput' numeric
@attribute 'funcion' numeric
@attribute 'reclam' numeric
@attribute 'entr' numeric
@attribute 'cheg' numeric
@attribute 'not' numeric
@attribute 'quas' numeric
@attribute 'edic' numeric
@attribute 'atend' numeric
@attribute 'rapid' numeric
@attribute 'atual' numeric
@attribute 'retweet' numeric
@attribute 'aqu' numeric
@attribute 'vez' numeric
@attribute 'estrag' numeric
@attribute 'mae' numeric
@attribute 'q' numeric
@attribute 'brasil' numeric
@attribute 'fod' numeric
@attribute 'val' numeric
@attribute 'hd' numeric
@attribute 'samsung' numeric
@attribute 'bat' numeric
@attribute 'class' {POSITIVE, NEGATIVE}

@data
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
