@relation notebookTweets
@attribute 'dia' numeric
@attribute 'ai' numeric
@attribute 'samsung' numeric
@attribute 'nao' numeric
@attribute 'problem' numeric
@attribute 'tao' numeric
@attribute 'mand' numeric
@attribute 'nov' numeric
@attribute 'am' numeric
@attribute 'atual' numeric
@attribute 'lig' numeric
@attribute 'parabem' numeric
@attribute 'dar' numeric
@attribute 'melhor' numeric
@attribute 'olh' numeric
@attribute 'so' numeric
@attribute 'tecn' numeric
@attribute 'muit' numeric
@attribute 'quer' numeric
@attribute 'q' numeric
@attribute 'troc' numeric
@attribute 'tecl' numeric
@attribute 'ter' numeric
@attribute 'suport' numeric
@attribute 'hp' numeric
@attribute 'cois' numeric
@attribute 'est' numeric
@attribute 'reclam' numeric
@attribute 'cheg' numeric
@attribute 'garant' numeric
@attribute 'car' numeric
@attribute 'faz' numeric
@attribute 'ser' numeric
@attribute 'ja' numeric
@attribute 'obrig' numeric
@attribute 'sit' numeric
@attribute 'aind' numeric
@attribute 'bost' numeric
@attribute 'aqu' numeric
@attribute 'volt' numeric
@attribute 'fal' numeric
@attribute 'sab' numeric
@attribute 'qu' numeric
@attribute 'ir' numeric
@attribute 'vc' numeric
@attribute 'precis' numeric
@attribute 'tel' numeric
@attribute 'carreg' numeric
@attribute 'dell' numeric
@attribute 'bom' numeric
@attribute 'nunc' numeric
@attribute 'top' numeric
@attribute 'brasil' numeric
@attribute 'ver' numeric
@attribute 'notebook' numeric
@attribute 'gost' numeric
@attribute 'vir' numeric
@attribute 'agor' numeric
@attribute 'compr' numeric
@attribute 'ach' numeric
@attribute 'fic' numeric
@attribute 'ano' numeric
@attribute 'marc' numeric
@attribute 'not' numeric
@attribute 'mesm' numeric
@attribute 'atend' numeric
@attribute 'comput' numeric
@attribute 'vez' numeric
@attribute 'cas' numeric
@attribute 'funcion' numeric
@attribute 'to' numeric
@attribute 'window' numeric
@attribute 'lind' numeric
@attribute 'resolv' numeric
@attribute 'class' {POSITIVE, NEGATIVE}

@data
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,POSITIVE
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
