@relation notebookTweets
@attribute 'q' numeric
@attribute 'parabem' numeric
@attribute 'window' numeric
@attribute 'reclam' numeric
@attribute 'mand' numeric
@attribute 'lind' numeric
@attribute 'fic' numeric
@attribute 'tecn' numeric
@attribute 'tao' numeric
@attribute 'samsung' numeric
@attribute 'dar' numeric
@attribute 'vir' numeric
@attribute 'ai' numeric
@attribute 'troc' numeric
@attribute 'melhor' numeric
@attribute 'dia' numeric
@attribute 'problem' numeric
@attribute 'atual' numeric
@attribute 'ser' numeric
@attribute 'am' numeric
@attribute 'marc' numeric
@attribute 'tel' numeric
@attribute 'gost' numeric
@attribute 'ano' numeric
@attribute 'vez' numeric
@attribute 'to' numeric
@attribute 'dell' numeric
@attribute 'ir' numeric
@attribute 'ja' numeric
@attribute 'cheg' numeric
@attribute 'mesm' numeric
@attribute 'sit' numeric
@attribute 'ver' numeric
@attribute 'car' numeric
@attribute 'ach' numeric
@attribute 'qu' numeric
@attribute 'so' numeric
@attribute 'olh' numeric
@attribute 'resolv' numeric
@attribute 'cas' numeric
@attribute 'agor' numeric
@attribute 'bost' numeric
@attribute 'top' numeric
@attribute 'est' numeric
@attribute 'not' numeric
@attribute 'notebook' numeric
@attribute 'obrig' numeric
@attribute 'atend' numeric
@attribute 'brasil' numeric
@attribute 'aind' numeric
@attribute 'nunc' numeric
@attribute 'nov' numeric
@attribute 'tecl' numeric
@attribute 'volt' numeric
@attribute 'precis' numeric
@attribute 'compr' numeric
@attribute 'bom' numeric
@attribute 'hp' numeric
@attribute 'lig' numeric
@attribute 'nao' numeric
@attribute 'aqu' numeric
@attribute 'fal' numeric
@attribute 'garant' numeric
@attribute 'muit' numeric
@attribute 'suport' numeric
@attribute 'quer' numeric
@attribute 'comput' numeric
@attribute 'vc' numeric
@attribute 'ter' numeric
@attribute 'faz' numeric
@attribute 'funcion' numeric
@attribute 'sab' numeric
@attribute 'cois' numeric
@attribute 'carreg' numeric
@attribute 'class' {POSITIVE, NEGATIVE}

@data
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,POSITIVE
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,POSITIVE
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE
